,data,seed,target,noise,nrmse,rmse,mean_perc_err,mean_perc_err_std,test_type
0,elevation,0,KoD,0,0.45396910425794484,0.17818289290348371,2.918327705495856,3.227504738342831,shuffle
1,curvature,10,logDoK,0,0.061772206966116926,0.10668052031063283,0.06948397448180231,0.03718830740441889,shuffle
2,curvature,0,DoK,0,0.07712343690722595,10.09031593642531,0.15167076059167994,0.11291714259647277,shuffle
3,elevation,10,DoK,0,0.2878035854377918,37.654300964266355,0.973101544847298,0.459955075276125,shuffle
4,flowacc,10,logDoK,0,0.34262434369204176,0.5917117916186015,0.5582039954572144,0.2374829674637645,shuffle
5,flowacc,10,DoK,0,0.2005338587399605,26.23651216517688,2.3735407918230975,2.030887891916251,shuffle
6,flowacc,0,logKoD,0,0.3232973905086162,0.5583341688511648,-0.5206784813358195,0.230124179779991,shuffle
7,slope,0,KoD,0,0.015865675232014043,0.006227278209446426,0.11076870202411297,0.2605494591138614,shuffle
8,log10flowacc,0,KoD,0,0.0377495717418243,0.014816708528701901,0.2588525979927435,0.49796772797190364,shuffle
9,slope,10,logKoD,0,0.03579003863500224,0.06180934972282893,-0.042358487022147416,0.023438114198206957,shuffle
10,log10flowacc,10,logKoD,0,0.05205258107434504,0.08989473915944816,-0.0749832119819246,0.06876702116490531,shuffle
11,curvature,0,logDoK,0,0.06615461510084783,0.11424893340429296,0.07559902494780839,0.032723713087911256,shuffle
12,elevation,0,DoK,0,0.3328307917849579,43.54536023233371,1.3032993399627162,0.680389183739605,shuffle
13,elevation,0,logKoD,0,0.5182390875970284,0.8949982237235575,-0.614280861348861,0.23324658086064948,shuffle
14,curvature,0,KoD,0,0.04299138351287312,0.01687411987379272,0.2981787361046365,0.3721441411950227,shuffle
15,slope,0,logDoK,0,0.02756754499761196,0.04760911400891295,0.02863463966009312,0.019863452038559888,shuffle
16,curvature,10,logKoD,0,0.06892326666431045,0.11903039101857327,-0.08325844291638927,0.03769262080965133,shuffle
17,flowacc,0,KoD,0,0.4501692893486262,0.17669146538850578,2.1131966339714623,1.4780237827399823,shuffle
18,elevation,10,KoD,0,0.2794193721874565,0.1096721155749552,1.5959671062785332,1.4517182732353586,shuffle
19,slope,10,logDoK,0,0.03146929552285792,0.054347432042196726,0.04184002797636739,0.025558862137298074,shuffle
20,flowacc,10,KoD,0,0.9271421411026257,0.3639033301714047,3.6548754777093766,1.8503326475009645,shuffle
21,elevation,10,logKoD,0,0.3480871838000767,0.6011461093113242,-0.38945872779748314,0.1780387303928991,shuffle
22,slope,0,logKoD,0,0.03733045555209126,0.06446964771575148,-0.030605283260532894,0.027115650778390066,shuffle
23,slope,10,KoD,0,0.01939658337049373,0.0076131598053298406,0.13628319118111829,0.27375454796486415,shuffle
24,log10flowacc,10,DoK,0,0.0668868287149394,8.751026416667234,0.39565932291456835,0.2684081348945741,shuffle
25,curvature,10,KoD,0,0.04837829976782864,0.018988484735044126,0.3936008792008305,0.5641883545539907,shuffle
26,elevation,10,logDoK,0,1.22382347533316,2.113541534763712,0.9989120561277385,0.9158190208327109,shuffle
27,elevation,0,logDoK,0,1.4114942764378469,2.437648761820421,1.4299740037220616,0.8588837065703243,shuffle
28,log10flowacc,10,KoD,0,0.05486519634233958,0.02153459191892707,0.41520250240634354,0.7852039540445996,shuffle
29,flowacc,0,logDoK,0,0.3610235482739975,0.6234871937696282,0.5849435149992933,0.27771791615977565,shuffle
30,log10flowacc,0,logDoK,0,0.05033150097090779,0.08692243608095084,0.06307617143175445,0.048573743829991065,shuffle
31,flowacc,10,logKoD,0,0.39815115032303366,0.6876065137519927,-0.6534619510698778,0.2899296222920365,shuffle
32,slope,0,DoK,0,0.05451601129813121,7.132511200889394,0.10214335284784638,0.08213408336558511,shuffle
33,curvature,10,DoK,0,0.06991763228854246,9.147556535464838,0.22344614624293624,0.0968312380696137,shuffle
34,curvature,0,logKoD,0,0.06866230112825672,0.11857970388051091,-0.07973050108015324,0.03350028968641657,shuffle
35,log10flowacc,10,logDoK,0,0.043029797291434586,0.0743124034151675,0.05820514676367541,0.05031943891933502,shuffle
36,flowacc,0,DoK,0,0.22296581025243317,29.171359040630584,2.625052859996351,2.145196317234439,shuffle
37,log10flowacc,0,logKoD,0,0.040500877804700915,0.06994496278257963,-0.05659660598950027,0.055430306563710716,shuffle
38,slope,10,DoK,0,0.06232861970801084,8.154660761444998,0.11382810264117019,0.08858023189024224,shuffle
