,data,seed,target,noise,nrmse,rmse,mean_perc_err,mean_perc_err_std,test_type
0,elevation,0,KoD,0,0.10408224949601418,0.04085228739391113,0.27208928308118396,0.2469987457312199,
1,flowacc,20,logKoD,0,0.050053879924444024,0.08644298489828252,-0.07186756816688153,0.06309559954584908,
2,log10flowacc,20,logDoK,0,0.019647720519536675,0.033931587535665934,0.02468321216591199,0.01822578590294563,
3,flowacc,20,logDoK,0,0.047118163097048575,0.0813730057925819,0.06759196115344217,0.06218938123477752,
4,slope,30,logDoK,0,0.008884196025415573,0.015342994869081776,0.012566593528228403,0.011788799268288743,
5,elevation,30,logKoD,0,0.049271353446047716,0.08509156269771333,-0.06745456701395573,0.07733627702588466,
6,flowacc,30,logKoD,0,0.04862676177687242,0.08397835373153151,-0.0716024863894419,0.06790946369789952,
7,curvature,10,logDoK,0,0.013659636417920075,0.023590174155783197,0.016389280274136518,0.012763065554540607,
8,elevation,20,DoK,0,0.010533017665359582,1.3780697576441805,0.0813570762630911,0.08595455978808263,
9,curvature,0,DoK,0,0.0045713455077571775,0.5980843473471651,0.0432685391037014,0.04450436028611607,
10,elevation,10,DoK,0,0.019351223851885858,2.5317850221963187,0.24404353556258077,0.3111536758681423,
11,flowacc,10,logDoK,0,0.0446806797693014,0.07716347528648887,0.06534115725224991,0.06588774490573855,
12,flowacc,10,DoK,0,0.03450325902744051,4.514176213930816,0.43705409547575835,0.48662861719253137,
13,flowacc,0,logKoD,0,0.0460826648759208,0.07958470172452037,-0.06880077390696523,0.07254282330562814,
14,slope,0,KoD,0,0.014015146857447617,0.005500945743013041,0.0343816016221743,0.02599270146933844,
15,log10flowacc,0,KoD,0,0.021681678051198854,0.008510059565572227,0.0777722826767286,0.06264379119765752,
16,curvature,30,DoK,0,0.004752374780983939,0.6217690096735706,0.031549806462683475,0.02699126352147099,
17,curvature,30,KoD,0,0.011714582835683019,0.004597974265740939,0.04042676991715106,0.03523316744967655,
18,slope,10,logKoD,0,0.008678739796479346,0.014988172231515988,-0.011553974232346989,0.010019009091596507,
19,log10flowacc,10,logKoD,0,0.02823791498302433,0.048766842093383854,-0.04367357660299051,0.04431779182867001,
20,log10flowacc,20,logKoD,0,0.01912212833892732,0.03302389052996624,-0.024700685479926376,0.018816627899360786,
21,curvature,0,logDoK,0,0.008447163342064665,0.014588239998850245,0.011620902541361177,0.009727321806621173,
22,elevation,0,DoK,0,0.019033085168278823,2.4901618793758686,0.24097595686865683,0.3066572966991794,
