,Unnamed: 0,predictions,true_labels,seed,data,target,noise,test_type
0,0,30.301350652885294,483.3333333333333,30,slope,DoK,0.1,sine
1,1,30.5018183465984,362.5,30,slope,DoK,0.1,sine
2,2,30.938151562408336,290.0,30,slope,DoK,0.1,sine
3,3,31.4190187955694,241.66666666666663,30,slope,DoK,0.1,sine
4,4,31.858049714057515,207.14285714285717,30,slope,DoK,0.1,sine
5,5,32.27964825783993,181.25,30,slope,DoK,0.1,sine
6,6,32.59320484782686,161.11111111111111,30,slope,DoK,0.1,sine
7,7,32.56919783246238,145.0,30,slope,DoK,0.1,sine
8,8,32.24435658371044,131.8181818181818,30,slope,DoK,0.1,sine
9,9,31.44910198813803,120.83333333333331,30,slope,DoK,0.1,sine
10,10,31.235801168168848,111.53846153846152,30,slope,DoK,0.1,sine
11,11,30.55306546667906,103.57142857142856,30,slope,DoK,0.1,sine
12,12,29.75664778971246,96.66666666666669,30,slope,DoK,0.1,sine
13,13,28.80246412164781,90.625,30,slope,DoK,0.1,sine
14,14,27.846132560710863,85.29411764705883,30,slope,DoK,0.1,sine
15,15,25.225157485181025,80.55555555555556,30,slope,DoK,0.1,sine
16,16,26.306610873264063,76.3157894736842,30,slope,DoK,0.1,sine
17,17,25.51425244267121,72.5,30,slope,DoK,0.1,sine
18,18,24.743622172528653,69.04761904761905,30,slope,DoK,0.1,sine
19,19,24.178612692831763,65.9090909090909,30,slope,DoK,0.1,sine
20,20,23.643685251852908,63.04347826086956,30,slope,DoK,0.1,sine
21,21,21.930760013194284,60.41666666666666,30,slope,DoK,0.1,sine
22,22,22.91755784509556,58.0,30,slope,DoK,0.1,sine
23,23,22.95323028991957,55.76923076923077,30,slope,DoK,0.1,sine
24,24,22.181001359785306,53.7037037037037,30,slope,DoK,0.1,sine
25,25,22.770049585737887,51.785714285714285,30,slope,DoK,0.1,sine
26,26,22.878614233850406,50.0,30,slope,DoK,0.1,sine
27,27,22.606723188649188,48.333333333333336,30,slope,DoK,0.1,sine
28,28,22.465559953683,46.774193548387096,30,slope,DoK,0.1,sine
29,29,22.114196872206836,45.3125,30,slope,DoK,0.1,sine
30,30,21.505197415711745,43.93939393939394,30,slope,DoK,0.1,sine
31,31,20.42917289465215,42.64705882352941,30,slope,DoK,0.1,sine
32,32,19.796658540068982,41.42857142857143,30,slope,DoK,0.1,sine
33,33,12.167929790698617,40.27777777777778,30,slope,DoK,0.1,sine
34,34,18.842582180109154,39.18918918918919,30,slope,DoK,0.1,sine
35,35,18.364675727560662,38.1578947368421,30,slope,DoK,0.1,sine
36,36,18.42251825761073,37.17948717948718,30,slope,DoK,0.1,sine
37,37,18.426418849528428,36.25,30,slope,DoK,0.1,sine
38,38,18.668051893796715,35.36585365853659,30,slope,DoK,0.1,sine
39,39,18.866540733748884,34.523809523809526,30,slope,DoK,0.1,sine
40,40,19.12946751372052,33.72093023255814,30,slope,DoK,0.1,sine
41,41,19.14743585202502,32.95454545454545,30,slope,DoK,0.1,sine
42,42,19.653699913585587,32.22222222222222,30,slope,DoK,0.1,sine
43,43,19.760160515148208,31.52173913043478,30,slope,DoK,0.1,sine
44,44,20.385181187078068,30.851063829787236,30,slope,DoK,0.1,sine
45,45,21.051543748703292,30.20833333333333,30,slope,DoK,0.1,sine
46,46,22.107551846662084,29.59183673469388,30,slope,DoK,0.1,sine
47,47,22.25777338568089,29.0,30,slope,DoK,0.1,sine
48,48,22.35150759216697,28.431372549019606,30,slope,DoK,0.1,sine
49,49,22.41707515191353,27.884615384615383,30,slope,DoK,0.1,sine
50,50,22.853894138821627,27.358490566037737,30,slope,DoK,0.1,sine
51,51,23.844907563851528,26.85185185185185,30,slope,DoK,0.1,sine
52,52,23.93168174358193,26.363636363636363,30,slope,DoK,0.1,sine
53,53,24.4829650166665,25.892857142857142,30,slope,DoK,0.1,sine
54,54,25.3094358860864,25.43859649122807,30,slope,DoK,0.1,sine
55,55,26.273978824743303,25.0,30,slope,DoK,0.1,sine
56,56,27.062383009366044,24.57627118644068,30,slope,DoK,0.1,sine
57,57,27.637917914140065,24.166666666666668,30,slope,DoK,0.1,sine
58,58,28.364014743856792,23.770491803278688,30,slope,DoK,0.1,sine
59,59,28.858707414780877,23.387096774193548,30,slope,DoK,0.1,sine
60,60,29.419266492754183,23.015873015873016,30,slope,DoK,0.1,sine
61,61,30.37013168652352,22.65625,30,slope,DoK,0.1,sine
62,62,31.313120696169143,22.307692307692307,30,slope,DoK,0.1,sine
63,63,32.387399441286874,21.96969696969697,30,slope,DoK,0.1,sine
64,64,33.14689620709166,21.64179104477612,30,slope,DoK,0.1,sine
65,65,33.542246957664844,21.323529411764707,30,slope,DoK,0.1,sine
66,66,34.006477973026946,21.014492753623188,30,slope,DoK,0.1,sine
67,67,34.16548089195691,20.714285714285715,30,slope,DoK,0.1,sine
68,68,34.27853978811541,20.422535211267604,30,slope,DoK,0.1,sine
69,69,36.35495623179611,20.13888888888889,30,slope,DoK,0.1,sine
70,70,34.49492138915846,19.863013698630137,30,slope,DoK,0.1,sine
71,71,34.4725666878381,19.594594594594597,30,slope,DoK,0.1,sine
72,72,34.027480361456455,19.33333333333333,30,slope,DoK,0.1,sine
73,73,33.6381850187768,19.07894736842105,30,slope,DoK,0.1,sine
74,74,33.367687825087664,18.83116883116883,30,slope,DoK,0.1,sine
75,75,32.63507116261515,18.58974358974359,30,slope,DoK,0.1,sine
76,76,31.77570862829185,18.354430379746837,30,slope,DoK,0.1,sine
77,77,30.727714599602216,18.125,30,slope,DoK,0.1,sine
