,data,seed,target,noise,nrmse,rmse,mean_perc_err,mean_perc_err_std,test_type
0,slope,30,DoK,0.1,0.1651342781048259,77.39626771781738,0.526095776573104,0.21244244554371353,sine
1,elevation,0,KoD,0.0,0.19473234967798486,91.26849520261108,0.9954055131726282,0.0027548728775726463,sine
2,slope,0,logDoK,0.1,0.19299019230287043,90.45196891770897,0.9480951102759447,0.028531194876945696,sine
3,slope,10,logDoK,0.1,0.1931103723009544,90.50829570468973,0.9650422726032439,0.015460447842371232,sine
4,elevation,20,logKoD,0.1,0.19503284008358412,91.40933110988185,0.954392128901791,0.035535358882046085,sine
5,slope,30,logDoK,0.0,0.19330442096319292,90.59924376456718,0.9576831389979481,0.023620908342760066,sine
6,elevation,30,logKoD,0.0,0.19341063160405778,90.64902329725535,0.9117433278635148,0.050640596131284445,sine
7,elevation,30,DoK,0.1,0.27558166933807837,129.161509669564,3.315786521078652,1.2797098887443246,sine
8,slope,20,KoD,0.1,0.19481273202573685,91.30616935347666,0.997913995627792,0.001286905385628356,sine
9,curvature,10,logDoK,0.0,0.19344775423993377,90.66642218922148,0.9797514248935402,0.007440176560193661,sine
10,elevation,20,DoK,0.0,0.3342689395623177,156.66746258274281,4.896017760459521,2.4228733316592215,sine
11,curvature,0,DoK,0.0,0.17455816523919007,81.813119869681,0.7541684218200495,0.2202747114827809,sine
12,elevation,0,logDoK,0.1,0.19640652430914707,92.0531588681255,1.057657374789862,0.037420833789029884,sine
13,elevation,30,KoD,0.1,0.19378357773345212,90.82381825083007,0.9589985390204523,0.02013454533585244,sine
14,elevation,10,DoK,0.0,0.2128217248587498,99.74674781258577,1.5439611164548277,0.30830129538852435,sine
15,elevation,10,logDoK,0.1,0.19541796425548216,91.58983375206437,1.0200855103259285,0.011361810587829918,sine
16,slope,0,KoD,0.0,0.194812070513324,91.30585931129528,0.9982642134721518,0.0010473956882407277,sine
17,curvature,30,DoK,0.0,0.15026530976044397,70.42737750388484,0.6191751627521724,0.20427308836688043,sine
18,curvature,30,KoD,0.0,0.19469755008961132,91.25218509250469,0.9877764376915319,0.011230681804398037,sine
19,elevation,0,logKoD,0.1,0.19513050124950512,91.45510361592967,0.995398064259286,0.006281869084677659,sine
20,slope,10,logKoD,0.0,0.19653388798626242,92.11285255113712,1.035870915974645,0.017029086753540642,sine
21,curvature,30,logKoD,0.1,0.19639662525638812,92.04851931208493,1.0230589808308879,0.010148152577004117,sine
22,elevation,0,DoK,0.1,0.22451023188228328,105.22499756907014,1.4367315926002722,0.2652671775439359,sine
23,slope,0,DoK,0.1,0.16858316888096414,79.01271753612865,0.4676529208124015,0.27839215026204706,sine
24,elevation,10,DoK,0.1,0.22073042531815382,103.45345186628623,1.7295732786203288,0.40484061678308575,sine
25,elevation,0,KoD,0.1,0.19472110021794786,91.26322272841192,0.9951164559322984,0.0028965286807189285,sine
26,elevation,20,DoK,0.1,0.42672195645607475,199.99897757133198,6.702753653193625,3.3927361912088725,sine
27,curvature,0,KoD,0.1,0.19473917620050946,91.27169470407715,0.9898372450065285,0.010608141576188463,sine
